# BEGIN CONSTRAINTS
HeaderName,ConstrainType,ConstrainVariant,Default,ColWidth,Colours,Role,Autofill,Hide
Id,int,,,,*=BLUE,PrimaryKey,False,False
Archived,bool,True|False,False,,False=RED|True=GREY,Archiving,False,True
Priority,,High|Medium|Low|Critical,Low,8,high=RED|medium=YELLOW|low=BLUE|critical=MAGENTA,,True,False
Status,,Not Started|In Progress|Done|Dependant|Backlog|Cancelled,Not Started,,not started=GREY|in progress=YELLOW|done=GREEN|Dependant=MAGENTA|Backlog=CYAN|Cancelled=BLUE,Status,True,False
Task,,,,75,BUG:*=RED,Description,False,False
Assignee,,,Sadbh,,,,False,False
Area,,Architecture|Frontend|Feature|Bug Queue|Design|Management|Testing|^_^|Release,,,,,True,False
# END CONSTRAINTS
Id,Task,Assignee,Status,Priority,Area,Archived
1,Add Status role get function on TaskQueue,Sadbh,Done,High,Architecture,True
2,Add default help menu or ls cmd when running with no args,Sadbh,Done,Low,Feature,True
3,Implement ColWidth constraint,Sadbh,Done,High,Architecture,True
4,Implement mark cmd,Sadbh,Done,High,Feature,True
5,ls cmd: implement --whereand flag,Sadbh,Done,High,Feature,True
6,Implement alter command (multiple properties),Sadbh,Backlog,Low,Feature,True
7,Implement archive cmd,Sadbh,Done,Low,Feature,True
8,ls archive autofiltering,Sadbh,Done,Low,Frontend,True
9,mark command on multiple ids,Sadbh,Done,Low,Feature,True
10,Concrete types on Constraint deserialization,Sadbh,Backlog,Low,Architecture,True
11,ls --top N and --bottom N argument,Sadbh,Backlog,Low,Feature,True
12,Util function wrapper around tabulate() with global options,Sadbh,Done,Medium,Architecture,True
13,"Implement column {add,move,rename,remove} command",Sadbh,Done,High,Feature,True
14,Case insensitive variants,Sadbh,Done,High,Feature,True
15,Autofill for ConstrainVariant columns,Sadbh,Done,Medium,Feature,True
16,update command on multiple ids,Sadbh,Done,Low,Feature,True
17,Setup git repo,Sadbh,Done,Low,Management,True
18,Additional Status variants,Sadbh,Done,Low,Management,True
19,Add --style option for tabulate,Sadbh,Backlog,Low,Feature,True
20,Implement Autofill constraint,Sadbh,Done,High,Feature,True
